Co-ordinates for c18th Prisons and Bridewells visited by John Howard.

Clink, 51.507078, -0.091931
Colchester Town Gaol, 51.888024, 0.8903295
Borough Compter, 51.5044, -0.0908
Fleet Prison, 51.516111111, -0.105
Poole Bridewell, 50.7156377, -1.9896606
Poultry Compter, 51.5137, -0.0906
Wood Street Compter, 51.515278, -0.094167
